Time(s),Target_Vx,Target_Vy,Target_Omega,Actual_Vx,Actual_Vy,Actual_Omega
0.00012111663818359375,2786,0,0,0.0,0.0,0.0
0.0735018253326416,2786,0,0,301.0,-14.5,6.5
0.1454758644104004,2786,0,0,976.25,-47.75,18.25
0.21588730812072754,2786,0,0,1686.75,-3.25,11.25
0.28780651092529297,2786,0,0,2180.25,22.25,-9.75
0.3597590923309326,2786,0,0,2506.75,25.75,-19.25
0.4317190647125244,2786,0,0,2683.75,25.25,-28.75
0.5037190914154053,2786,0,0,2771.25,34.75,-23.75
0.5757076740264893,2786,0,0,2811.25,31.25,-22.75
0.647876501083374,2786,0,0,2833.75,32.75,-16.75
0.7199594974517822,2786,0,0,2848.0,33.0,-9.5
0.7932450771331787,2786,0,0,2854.5,34.5,-13.0
0.8659968376159668,2786,0,0,2860.5,32.5,-21.5
0.9374189376831055,2786,0,0,2866.75,31.25,-23.25
1.0094668865203857,0,2786,0,2864.25,27.75,-23.25
1.0811543464660645,0,2786,0,2841.0,46.5,-26.5
1.1516833305358887,0,2786,0,2579.25,301.75,-80.25
1.2235496044158936,0,2786,0,2096.25,744.75,-84.25
1.2955243587493896,0,2786,0,1564.25,1233.25,-64.25
1.3674719333648682,0,2786,0,1008.5,1736.5,-42.5
1.4394516944885254,0,2786,0,578.5,2146.5,-30.5
1.513005018234253,0,2786,0,318.25,2402.25,-22.25
1.5866038799285889,0,2786,0,187.75,2544.75,-30.25
1.6596243381500244,0,2786,0,102.75,2623.75,-29.75
1.7327008247375488,0,2786,0,64.0,2664.5,-21.5
1.8044536113739014,0,2786,0,51.0,2684.5,-26.0
1.876427173614502,0,2786,0,33.75,2695.75,-29.75
1.9484429359436035,0,2786,0,22.25,2707.75,-23.75
2.0201382637023926,0,0,2786,24.5,2716.5,-21.0
2.0906057357788086,0,0,2786,-14.5,2651.0,34.0
2.1625258922576904,0,0,2786,-34.25,2374.25,330.25
2.2344741821289062,0,0,2786,-5.5,1964.0,765.0
2.306429386138916,0,0,2786,31.5,1513.0,1237.0
2.378453254699707,0,0,2786,61.0,1055.0,1701.0
2.451997756958008,0,0,2786,75.5,614.0,2160.0
2.525609016418457,0,0,2786,67.5,341.5,2447.5
2.597907781600952,0,0,2786,42.0,178.0,2599.0
2.6712207794189453,0,0,2786,22.75,88.75,2686.25
2.744020462036133,0,0,2786,13.0,50.5,2730.5
2.815171480178833,0,0,2786,6.5,33.0,2749.0
2.8874449729919434,0,0,2786,13.0,20.5,2754.0
2.9577527046203613,0,0,2786,11.0,18.5,2759.0
3.029590129852295,0,0,0,8.25,10.25,2763.75
3.1112773418426514,0,0,0,19.0,73.0,2596.5
3.1930620670318604,0,0,0,-5.5,80.0,1805.0
3.274864673614502,0,0,0,-7.0,29.0,805.0
3.3566181659698486,0,0,0,4.75,-1.75,320.25
3.438390016555786,0,0,0,3.0,-4.5,141.0
